int_id,url,left,result,,right,center1,center2,year,birth,loc,genrei,author,source,corp_index,sub_query_index,id,group_id,compose_doc_id
64,http://m.livejournal.com/read/user/making_pies/189609,"очень вкусная , кроме фуагры . Но я просто не люблю сочетание",тёплой,фуагры,со сладким . Все заценили хлорофилл петрушки зато ) ) Меню мы полностью,тёплой,фуагры,2013,0,NA,blog,making_pies,lj,41,71745,20648094,,40_5076204
40,http://m.livejournal.com/read/user/tastydiet/22370/comments/p6,"очень , но вот советую для сравнения купить маленькую баночку готовой",французской,фуа-гры,.,французской,фуа-гры,2011,0,NA,blog,mashanya30,lj,41,71749,21458725,,40_23796850
111,http://m.livejournal.com/read/user/mudroff/26882,"бокалы божоле 1972 года . Омары , приправленные укропным соусом , чередовались с",тривиальной,фуагрой,", в гарнире с картофелем а - ля - натюрель . Симфонический оркестр лишь",тривиальной,фуагрой,2007,0,NA,blog,mudroff,lj,41,71745,29217488,,40_14706844
58,http://m.livejournal.com/read/user/go_mag/102983,"В меню обилие блюд из утки , в т.ч . из моей",любимой,фуа-гры,". Очень вкусно . Шеф повар - из Питера ( ресторан Grand Ferron , за",любимой,фуа-гры,2010,0,Алтайский край,blog,mydinka,lj,41,71749,23450029,,39_17021780
124,http://m.livejournal.com/read/user/ne_veli4ka/18701,"перечного суфле , сыров "" от той самой козы "" и той самой",ванечкиной,фуа-гры,"была еще ... Ванечкина вяленая утиная грудка , pâte noir и свежайший",ванечкиной,фуа-гры,2012,0,Москва,blog,ne_veli4ka,lj,41,71749,24153638,,40_7137621
270,http://m.livejournal.com/read/user/marynka/392682/comments/p1,"Помпиду , там на 6 этаже есть классный ресторан Жорж , ела",вкусную,фуа-гру,"и пила вкусное шампаньское . За этим центром есть фонтан , в",вкусную,фуа-гру,2010,0,NA,blog,niagara_eprst,lj,41,71749,30801150,,40_13005347
40,http://m.livejournal.com/read/user/oleksenko/207200,После приготовления,вкуснейшей,фуагры,"с шоколадом , пришла к выводу , что Belonika таки трескала в",вкуснейшей,фуагры,2012,0,Киев,blog,oleksenko,lj,41,71745,25626319,,40_13005780
72,http://m.livejournal.com/read/user/putevaya/10731,обед затянулся почти на два часа . Заказали территориальное меню . Закуски -,жареную,фуагру,на сладком хлебе - нам принесли . Основное блюдо - утиную грудь - мы,жареную,фуагру,2012,0,Москва,blog,putevaya,lj,41,71745,35179280,,40_13005780
135,http://m.livejournal.com/read/user/rittz/253260,"а в качестве , мне кажется . Где нормандские родственнички откопали эту",сраную,фуа-гру,остается загадкой . Единственный хитовый момент - шоппиг в вечернем Бернее 24,сраную,фуа-гру,2008,0,NA,blog,rittz,lj,41,71749,28922264,,40_1892982
66,http://m.livejournal.com/read/user/sova_aleksa/63440,чудесным белым вином региона Лангедок Наше ожидание скрасили небольшими кусочками,вкуснейшей,фуагры,"и комплимент от шеф повара , что приятно ) Как закуска , была",вкуснейшей,фуагры,2013,0,Lyon,blog,sova_aleksa,lj,41,71745,31942627,,40_19782933
67,http://m.livejournal.com/read/user/terra_trattoria/120131,"блюда , шеф повар принес тарелку , на дне которой покоились кусочки",маринованной,фуагры,", ярко розовые кубики имбиря и оливковый каперс . И только после",маринованной,фуагры,2013,0,Lyon,blog,sova_aleksa,lj,41,71745,31942733,,40_4804929
140,http://m.livejournal.com/read/user/sweetory/23384,"для рождества . Обычно в праздничную ночь едят устриц , лосось , индейку ,",жареную,фуагру,и рождественнское полено на десерт . Но сейчас все стремятся к,жареную,фуагру,2012,0,Франция,blog,sweetory,lj,41,71745,41610096,,39_7323963
188,http://m.livejournal.com/read/user/tuchkova/52598,"сравнится , и никакая там фуа-гра , честно говорю , ела эту самую",зверскую,фуа-гру,"в былые времена . На вкус паштет и паштет , а птичек",зверскую,фуа-гру,2012,0,Helsinki,blog,tuchkova,lj,41,71749,43450818,,38_7859049
59,http://m.livejournal.com/read/user/u4erediska/70473,"поплывет центр города . Короче , продолжение летней засухи ... Ох ! Раздобыл муж",домашней,фуа-гры,( фуа-гру или фуа-гра ) для празднования НГ . Но потом мы посовещались,домашней,фуа-гры,2012,0,Cambridge,blog,u4erediska,lj,41,71749,34661311,,39_9847439
105,http://m.livejournal.com/read/user/usama_mnemonikk/2344,"удалил . Не хотел он видите - ли читать , как делают его",любимую,фуа-гру,"... Ну ничего , как писали те же хиппи "" Всех ты не",любимую,фуа-гру,2008,1979,Донецк,blog,usama_mnemonikk,lj,41,71749,35046976,,40_42206304
147,http://m.livejournal.com/read/user/gdepoest_abroad/63068,сказала . Наконец - то в этом ресторане можно было поесть хваленной,венгерской,фуа-гры,", так как Венгрия соревнуется с Францией на тему - кто есть",венгерской,фуа-гры,2012,1977,Москва,blog,varvarapaal,lj,41,71749,44628958,,39_35694545
142,http://m.livejournal.com/read/user/witeck/16536,"самая разная , и если кто-то считает , что она состоит из",сплошной,фуа-гры,"- это идиотская болезнь близорукости . впрочем , оная фуа-гра тоже есть , но",сплошной,фуа-гры,2012,0,NA,blog,witeck,lj,41,71749,46512304,,39_19663759
88,http://m.livejournal.com/read/user/xomsik/85135,"и несли , и все точили , а хомичок пробовал и раздавал",всяческую,фуагру,"Кошкам и Тошкам , и на 7-8 перемене у всех кончилось",всяческую,фуагру,2012,1982,NA,blog,xomsik,lj,41,71745,46850123,,39_35781900
41,http://m.livejournal.com/read/user/ya_sakhalin/21684,и неслышные мальчики в белых пиджаках на нас семерых эту,драгаценную,фуагру,"таскали , ручные сосиски и какие-то невероятные рулеты , похожие на мороженное",драгаценную,фуагру,2009,0,NA,blog,ya_sakhalin,lj,41,71745,37358550,,40_27861239
98,http://m.livejournal.com/read/user/yma_sergeevna/124091/comments/p1,"ты его , наверное , какой-то",специальной,фуагрой,кормишь = ),специальной,фуагрой,2013,0,Петербург,blog,yma_sergeevna,lj,41,71745,47282885,,39_14817128
15,http://m.livejournal.com/read/user/z_abdullaeva/58004,"злы - сбивают неторопливый полет моей фантазии и уходят , не купив",бедной,фуагры,", а я теперь так и не узнаю - поженились они в",бедной,фуагры,2011,1971,Москва,blog,z_abdullaeva,lj,41,71745,37879701,,40_27549998
202,http://m.livejournal.com/read/user/zoe_dorogaya/309881,"не завидовали "" , тут хоть на себя похожа Домой привезла много",помятой,фуа-гры,"и колбас , очень довольна .",помятой,фуа-гры,2011,0,NA,blog,zoe_dorogaya,lj,41,71749,48309726,,38_12700
115,http://m.livejournal.com/read/user/abaque/735,бриллианты и меха носят. . Так и кола с пивом - самые,изысканные,фуа-гры,под черничным соусом теперь проталкиваются в желудок с помощью этих,изысканные,фуа-гры,2010,1978,NA,blog,abaque,lj,41,71749,1274240,,38_8331311
86,http://m.livejournal.com/read/user/blooming_garden/45537,"Блюдо года - я поняла , что на кухне я совковый нуб ,",накаких,фуагр,готовить не умею . Жареный халуми - вот мое блюдо года ) Хобби,накаких,фуагр,2012,0,Москва,blog,blooming_garden,lj,41,71745,6818519,,40_9167213
10,http://m.livejournal.com/read/user/e_malinovskiy/22900,"должности домохозяина . Ну там рыбу жарю , мясо тушу ... В общем",сплошные,фуагры,с регулярной влажной уборкой . Вооот ... Надо сегодня два текста отписать,сплошные,фуагры,2009,1976,NA,blog,e_malinovskiy,lj,41,71745,9355506,,39_33907079
70,http://m.livejournal.com/read/user/kammerer/232358,Пока кое-кто на своей волшебной работе пробует,богомерзкие,фуа-гры,"и мучается выбором между виноградом и ананасом , у меня совершеннейший",богомерзкие,фуа-гры,2007,0,Петербург,blog,kammerer,lj,41,71749,16195508,,40_15338448
551,http://m.livejournal.com/read/user/kvazi_lyacha/145349,то от Загреба ведёт 1 прямой автобан на юго-запад по,Ярданской,авении,". С Александром долго выясняли , где именно я там буду их",Ярданской,авении,2010,0,NA,blog,kvazi_lyacha,lj,41,72259,18201173,,39_31949008
90,http://m.livejournal.com/read/user/swallowteen/112255,"во !!!! Буду ходить и всем хвастаться : "" А у меня дома",живая,авокада,"с подоконника листочками машет ! "" : -р Завидувайте мне все , что называется",живая,авокада,2007,1985,Омск,blog,swallowteen,lj,41,71999,8311328,,38_3479153
240,http://m.livejournal.com/read/user/shoshana_d/111135/comments/p2,"заборе где-то за деревьями ... я вышла за пределы пнимии , нашла",растущие,авокады,"( не знала , что это , они были зеленые ) . Сорвала один , попробовала",растущие,авокады,2010,0,Израиль,blog,pionervojataja,lj,41,71999,27122177,,39_2991810
258,http://m.livejournal.com/read/user/che_shr_cat/128745,деле их там три ) : Ещё авокадо : Манго : Кедр в тени,очередной,авокады,": Не знаю , кто оно , но у него уже осень . Изначально",очередной,авокады,2012,0,NA,blog,che_shr_cat,lj,41,71999,6489096,,39_3446596
290,http://m.livejournal.com/read/user/lopanism/101695,большинство латиносов  лентяи . ) Нашелся лишь единственный маленький рыночек с,подтухшими,авокадами,", плантанами , папайами , кокосами и мангами которые еще недавно висели на",подтухшими,авокадами,2008,1983,США,blog,lopanism,lj,41,71999,19855147,,39_5546982
327,http://m.livejournal.com/read/user/frutta_life/385374,"Короче "" а я что говорил ??? "" Отломил ему кусок кстати охуенно",спелого,овокада,и наблюдал как его скривленная блюдоманская харя плюётся минуты 2,спелого,овокада,2012,0,NA,blog,frutta_life,lj,41,71999,11785914,,39_6656732
447,http://m.livejournal.com/read/user/yx/474912/comments/p1,и оно плодоносит,съедобными,авокадами,? или дикими маленькими и кислыми ?,съедобными,авокадами,2011,0,Израиль,blog,yx,lj,41,71999,37869611,,39_12458410
569,http://m.livejournal.com/read/user/corrosia/58529/comments/p1,"вечно недозрелым , поэтому все время надо следить за непрерывной преемственностью",дозревающих,авокадов,в газетке в шкафу и поспевших в холодильнике . кроме того,дозревающих,авокадов,2011,0,Калининград,blog,tridaktna,lj,41,71999,34331996,,39_16748814
690,http://m.livejournal.com/read/user/wolwo/1224022/comments/p1,бу го га .,спелых,авокадей,"нет ... оборжался . оно покупается кирпичем , обертывается в газетную бумагу ( ну",спелых,авокадей,2013,0,NA,blog,pashtanhov,lj,41,71999,26623449,,39_21987325
695,http://m.livejournal.com/read/user/nnimble/282884,"страсть как полезно . Воотъ , а на ужин надо салат из",зрелой,авокады,"( это как нарвёшься , стращная редкость в наших широтах ) тонкими дольками",зрелой,авокады,2012,1984,Москва,blog,nnimble,lj,41,71999,24861096,,39_22061419
722,http://m.livejournal.com/read/user/d_ph_misli/151246/comments/p1,"Спасибо ,",милая,Авокада,),милая,Авокада,2012,0,Москва,blog,d_ph_misli,lj,41,71999,7372056,,39_23374975
940,http://m.livejournal.com/read/user/umit/401057,соответствие ровной & здоровой накаляя кожи Удивительнейшее эффективный влага кожи с,естественным,авокадоом,", может освежить , сгладить и восстановить сухую или сморщенную кожу и",естественным,авокадоом,2008,1988,Россия,blog,umit,lj,41,71999,34844064,,39_33428264
1106,http://m.livejournal.com/read/user/lorenze/77483,кучу всякой гадости . Из недоступных в Москве радостей тут имеются,спелые,авокады,- ммм ... ) И свежая зелень типа розмарина и мяты . А еще,спелые,авокады,2006,1980,Boston,blog,lorenze,lj,41,71999,24930367,,40_5753602
1181,http://m.livejournal.com/read/user/galkao/1506102/comments/p1,Енотов надо дрессировать . Взамен,ненадкусанных,авокад,оставляйте им что-нибудь получше .,ненадкусанных,авокад,2013,0,?,blog,kcmamu,lj,41,71999,20886409,,40_8952793
1185,http://m.livejournal.com/read/user/bukovkina/59699,,Добрая,авокада,нарисовала про дружбу с деревьями ! avokada.livejournal.com /316409.html и еще много,Добрая,авокада,2010,0,NA,blog,bukovkina,lj,41,71999,7433473,,40_9106482
1188,http://m.livejournal.com/read/user/lesha_santosha/25089,и аппетита и т.п ... Я шёл по торговому центру за,спелыми,авокадами,", довольный своими успехами , слушал атмосферный эмоциональный неотранс и просто обходил",спелыми,авокадами,2011,0,Москва,blog,lesha_santosha,lj,41,71999,23988782,,40_9434999
1235,http://m.livejournal.com/read/user/pocccomaxa/2666,"заменить на салат из рукколы , помидоров черри , пармезана и 1-го",мягкого,авокада,- залить оливковым маслом . Я такой буду делать первого днем . 3,мягкого,авокада,2005,0,NA,blog,pocccomaxa,lj,41,71999,34218241,,40_11138332
1390,http://m.livejournal.com/read/user/arlaurelen/62115/comments/p2,,Чудесная,Авокада,". Которую я не видел ещё больше , нежели стотыщьмильонов лет . Что",Чудесная,Авокада,2011,0,Москва,blog,arlaurelen,lj,41,71999,4712943,,40_18837377
1430,http://m.livejournal.com/read/user/koa_latam/65454/comments/p2,"лет , был бы только одного сорта . Но у нас продаются",чилийские,авокады,только . Черные и шершавые снаружи . Очень люблю :),чилийские,авокады,2010,0,Киото,blog,zajcev_ushastyj,lj,41,71999,47736541,,40_21614527
1451,http://m.livejournal.com/read/user/grishnov/3730,"зеленоватые фрукты - можно видеть , как они хрустят зеленоватой папайей и",твёрдыми,авокадами,". Наверное , боятся перезрелых , - не знаю . Французское вино дешевле , чем в",твёрдыми,авокадами,2007,1972,Ленинградская область,blog,grishnov,lj,41,71999,16471018,,40_22484735
1597,http://m.livejournal.com/read/user/kopeyka2011/83509/comments/p2,"просто , как я люблю . Приготовлю обязательно ! Тока сначала буду зреть",зеленые,авокады,", у нас же спелые трудно купить ... .",зеленые,авокады,2012,1972,Москва,blog,lema_ma,lj,41,71999,23700526,,40_29283602
1617,http://m.livejournal.com/read/user/aelitta/40594/comments/p1,"людям . А тут , глядишь , и лекарство от Альцгеймера , или там",самовыращивающиеся,авокады,. ( вспоминает о своей не особой миру нужности и немножко пригорюнивается,самовыращивающиеся,авокады,2012,1982,Москва,blog,kulyok,lj,41,71999,22693840,,40_30456885
1701,http://m.livejournal.com/read/user/gyulchetay/186272/comments/p2,"В холодильнике , кстати , не особо",переспевшие,авокады,неделю могут пережить вполне .,переспевшие,авокады,2013,0,Melbourne,blog,inhabitedisland,lj,41,71999,18371700,,40_34375916
1724,http://m.livejournal.com/read/user/parsegova/9122,Йо-хо-хо !!! В магазине наконец - то созрели,декабрьские,авокады,!!!,декабрьские,авокады,2011,1976,Россия,blog,parsegova,lj,41,71999,33338168,,40_36489533
1877,http://m.livejournal.com/read/user/avemano_forever/573164/comments/p1,выяснилось сто оно слишком зеленое . чтобы быть вкусным . как выбирать,правильные,авокады,", а ? : )",правильные,авокады,2008,0,Москва,blog,don_kihott,lj,41,71999,11107110,,40_43008396
1893,http://m.livejournal.com/read/user/ostrovskaya/524499,"орехов , особенно кешью , которые не сырые вроде как , а также",жирные,авокады,"и сладкие сухофрукты похудение происходит . Сегодня мерила льняные штаны , купленные",жирные,авокады,2010,1981,Москва,blog,ostrovskaya,lj,41,71999,32778149,,40_43830479
271,http://m.livejournal.com/read/user/jonifer/10845,выбросить этот зомби-ящик на улицу . Но я достал музыку с,индийскими,банджами,", которую уже наверное год не слушал и погрузился в медитацию",индийскими,банджами,2007,0,Крым,blog,jonifer,lj,41,72222,19737336,,40_20754462
6262,http://m.livejournal.com/read/user/liberis/131038,Наконец на Картелере ( которая http://www.generaltickets.com/ ) появились билеты к,Севильскому,биенналю,". Боже , ну как же мне туда хочется ... Но нельзя , нельзя",Севильскому,биенналю,2012,1972,Ирландия,blog,liberis,lj,41,72200,24181313,,40_37145436
2613,http://m.livejournal.com/read/user/ida_braun/14461,"Уносящая жертву бесстрастному Богу . "" А Аве Мария . Италия . Венеция . Посетили",Венецианский,биеналий,". Флиртовала со многими ты , но один тебе особенно пришелся по",Венецианский,биеналий,2008,0,NA,blog,ida_braun,lj,41,72200,14240029,,39_22884599
3703,http://m.livejournal.com/read/user/tchert/37681,"в совершенно необходимую условность , обязательным стало посещение Арт-Базелей , -Майямей , Фризов ,",венецианский,биенналей,", регулярного паломничества на вечерние торги Сотбиса или Кристиса и других",венецианский,биенналей,2010,0,NA,blog,tchert,lj,41,72200,42255819,,40_1715800
4606,http://m.livejournal.com/read/user/nikadubrovsky/1100470,"вещь -- Венецианский Арсенал . Это - одна из площадок , на которой проходит",Венецианский,Биенналей,"и , одновременно , первый в мире военно - промышленный комплекс . Венецианцы придумали",Венецианский,Биенналей,2013,1967,Berlin,blog,nikadubrovsky,lj,41,72200,30958235,,40_12991001
6263,http://m.livejournal.com/read/user/melodie_del_mar/138720/comments/p1,я - точно вернусь . Не этой правда осенью . Но следующей . На,очередной,Биенналь,.,очередной,Биенналь,2013,1972,Ирландия,blog,liberis,lj,41,72200,24181584,,40_37145707
4710,http://m.livejournal.com/read/user/rots_topinambur/65284,"с Петушком : Кокомания в то время , как на московской и",берлинской,биенналиях,токсидермичные чучела из космополитического куриного проекта или непосредственно живые петухи,берлинской,биенналиях,2010,1982,Ленинградская область,blog,rots_topinambur,lj,41,72200,36700721,,40_14513480
5429,http://m.livejournal.com/read/user/sipfactory/11038,"в то время , как на московской и",берлинской,биенналиях,токсидермичные чучела из космополитического куриного проекта или непосредственно живые петухи,берлинской,биенналиях,2010,0,NA,blog,sipfactory,lj,41,72200,39289624,,40_25158949
5702,http://m.livejournal.com/read/user/sha_liapin/289837,"среди остальных участников . Да и разговоры те вели , непонятные : о",будущих,биенналях,", известных кураторах , и как было клево в прошлый раз в",будущих,биенналях,2013,1966,Белоруссия,blog,sha_liapin,lj,41,72200,38350807,,40_29527272
5703,http://m.livejournal.com/read/user/sha_liapin/289837,на гранты в интернете я не нашел . Списки постоянных участников,всевозможных,биенналь,можно найти на сайтах актуального искусства Центральной Азии с окончанием,всевозможных,биенналь,2013,1966,Белоруссия,blog,sha_liapin,lj,41,72200,38350807,,40_29527272
2501,http://m.livejournal.com/read/user/pooh_99/16247,провансальская сельская жизнь осталась позади ! И нам остается блуждать по,депрессивным,Биеналиям,Современного Искусства и судорожно шерстить афишу в поисках нового ресторана,депрессивным,Биеналиям,2009,0,Россия,blog,pooh_99,lj,41,72200,27459990,,39_21427869
3791,http://m.livejournal.com/read/user/gullimar/102545,Чапа приехала в тот год поучаствовать в одном из скобкинских,манежных,биенналей,"и проведать , и посмотреть , что происходит в стране , в которой",манежных,биенналей,2011,0,NA,blog,gullimar,lj,41,72200,16607995,,40_2813741
6049,http://m.livejournal.com/read/user/gikjuri/18992,И на Биеннале всю эту лабуду ! А лучше на все,последующие,биеннали,", чо париться ... Как же это все замучало ... 8-(",последующие,биеннали,2009,0,NA,blog,gikjuri,lj,41,72200,15624933,,40_34284001
